understat_player_id,player_code,player_name,web_name,fpl_full_name,team_codes,seasons,method,score,status,reason
10140,490721,Hugo Bueno,H.Bueno,Hugo Bueno López,39,2025-2026,contains_name,97.0,accepted,""
8995,510663,Hugo Ekitike,Ekitiké,Hugo Ekitiké,14,2025-2026,exact_name,100.0,accepted,""
11911,551050,Hugo Larsson,Larsson,Hugo Larsson,54,2026-2027,exact_name,100.0,accepted,""
12595,507433,Hákon Valdimarsson,Valdimarsson,Hákon Rafn Valdimarsson,94,2025-2026,last_initial,96.0,accepted,""
11807,441302,Ian Maatsen,Maatsen,Ian Maatsen,7,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12733,638987,Ibrahim Mbaye,Mbaye,Ibrahim Mbaye,7,2026-2027,exact_name,100.0,accepted,""
13792,612855,Ibrahim Osman,Osman,Ibrahim Osman,36,2026-2027,exact_name,100.0,accepted,""
5722,210462,Ibrahim Sangare,Sangaré,Ibrahim Sangaré,17,"2025-2026,2026-2027",exact_name,100.0,accepted,""
6326,204716,Ibrahima Konaté,Konaté,Ibrahima Konaté,14,2025-2026,exact_name,100.0,accepted,""
668,80801,Idrissa Gueye,Gana,Idrissa Gana Gueye,11,2025-2026,last_initial,96.0,accepted,""
13778,482973,Igor Jesus,Igor Jesus,Igor Jesus Maciel da Cruz,17,"2025-2026,2026-2027",exact_web,99.0,accepted,""
7943,223434,Igor Julio,,,21,2025-2026,override,100.0,accepted,Igor Julio — Understat team West Ham vs FPL Brighton
8000,486520,Ilia Gruev,Gruev,Ilia Gruev,2,2025-2026,exact_name,100.0,accepted,""
9307,440993,Iliman Ndiaye,Ndiaye,Iliman Ndiaye,"11,43","2025-2026,2026-2027",exact_name,100.0,accepted,""
5675,232185,Ismaila Sarr,Sarr,Ismaïla Sarr,31,2025-2026,exact_name,100.0,accepted,""
3203,219924,Issa Diop,Diop,Issa Diop,"40,54","2025-2026,2026-2027",exact_name,100.0,accepted,""
8831,487053,Iyenoma Destiny Udogie,Udogie,Destiny Udogie,6,"2025-2026,2026-2027",contains_name,97.0,accepted,""
13019,443261,Jack Clarke,Clarke,Jack Clarke,40,2026-2027,exact_name,100.0,accepted,""
13150,547037,Jack Fletcher,J.Fletcher,Jack Fletcher,1,2025-2026,exact_name,100.0,accepted,""
675,114283,Jack Grealish,Grealish,Jack Grealish,"11,43","2025-2026,2026-2027",exact_name,100.0,accepted,""
8720,221399,Jack Harrison,Harrison,Jack Harrison,2,2025-2026,exact_name,100.0,accepted,""
11269,532529,Jack Hinshelwood,Hinshelwood,Jack Hinshelwood,36,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14747,480457,Jack Rudoni,Rudoni,Jack Rudoni,9,2026-2027,exact_name,100.0,accepted,""
12113,523705,Jackson Tchatchoua,Tchatchoua,Jackson Tchatchoua,39,2025-2026,exact_name,100.0,accepted,""
5355,179458,Jacob Bruun Larsen,Bruun Larsen,Jacob Bruun Larsen,90,2025-2026,exact_name,100.0,accepted,""
12745,449429,Jacob Greaves,Greaves,Jacob Greaves,40,2026-2027,exact_name,100.0,accepted,""
6063,114243,Jacob Murphy,J.Murphy,Jacob Murphy,4,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8941,232653,Jacob Ramsey,J.Ramsey,Jacob Ramsey,4,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9415,481624,Jaden Philogene-Bidace,Philogene,Jaden Philogene,40,2026-2027,contains_name,97.0,accepted,""
6345,209243,Jadon Sancho,Sancho,Jadon Sancho,7,2025-2026,exact_name,100.0,accepted,""
10746,444180,Jaidon Anthony,Anthony,Jaidon Anthony,"90,94","2025-2026,2026-2027",exact_name,100.0,accepted,""
13779,575458,Jair,Jair Cunha,Jair Paula da Cunha Filho,17,"2025-2026,2026-2027",contains_name,97.0,accepted,""
6807,434752,Jaka Bijol,Bijol,Jaka Bijol,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12014,512462,Jake O&#039;Brien,O'Brien,Jake O'Brien,11,"2025-2026,2026-2027",exact_name,100.0,accepted,""
766,101148,Jamaal Lascelles,Lascelles,Jamaal Lascelles,4,2025-2026,exact_name,100.0,accepted,""
13310,559962,Jamaldeen Jimoh,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,7,2025-2026,contains_name,97.0,accepted,""
7438,232928,James Garner,Garner,James Garner,11,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10747,463981,James Hill,Hill,James Hill,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7753,220627,James Justin,Justin,James Justin,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
6818,172780,James Maddison,Maddison,James Maddison,6,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10126,432714,James McAtee,McAtee,James McAtee,17,"2025-2026,2026-2027",exact_name,100.0,accepted,""
489,15157,James Milner,Milner,James Milner,36,2025-2026,exact_name,100.0,accepted,""
14176,499716,James Rowswell,Rowswell,James Rowswell,6,2025-2026,exact_name,100.0,accepted,""
1665,17761,James Tarkowski,Tarkowski,James Tarkowski,11,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9077,432720,James Trafford,Trafford,James Trafford,"2,43","2025-2026,2026-2027",exact_name,100.0,accepted,""
843,101178,James Ward-Prowse,Ward-Prowse,James Ward-Prowse,"21,90",2025-2026,exact_name,100.0,accepted,""
10542,463936,Jamie Bynoe-Gittens,Gittens,Jamie Bynoe-Gittens,8,2025-2026,exact_name,100.0,accepted,""
10807,469142,Jan Paul van Hecke,Van Hecke,Jan Paul van Hecke,"6,36","2025-2026,2026-2027",exact_name,100.0,accepted,""
14788,513086,Jannik Schuster,Schuster,Jannik Schuster,94,2026-2027,exact_name,100.0,accepted,""
8476,480455,Jarrad Branthwaite,Branthwaite,Jarrad Branthwaite,11,"2025-2026,2026-2027",exact_name,100.0,accepted,""
1776,178186,Jarrod Bowen,Bowen,Jarrod Bowen,21,2025-2026,exact_name,100.0,accepted,""
14743,173878,Jay Dasilva,Dasilva,Jay Dasilva,9,2026-2027,exact_name,100.0,accepted,""
13091,651426,Jaydee Canvot,Canvot,Jaydee Canvot,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
